180428 201934.200|CONFIG|AWT-EventQueue-0|setFileHandlers|Now logging to C:\Users\§õÀ[\Desktop\pc2-nctu-cp1\pc2-nctu-cp1\bin\logs directory.
180428 201934.216|INFO|AWT-EventQueue-0|info|
180428 201934.216|INFO|AWT-EventQueue-0|info|Version 9.5.3 20180207 (Wednesday, February 7th 2018 04:25 UTC) Java ver 1.8.0_161 build 4653 Windows 10 10.0 (x86) 
180428 201934.216|INFO|AWT-EventQueue-0|info|Login: team33 (aka team33)
180428 201934.216|INFO|AWT-EventQueue-0|startLog|Working directory is C:\Users\§õÀ[\Desktop\pc2-nctu-cp1\pc2-nctu-cp1\bin
180428 201934.216|INFO|AWT-EventQueue-0|startLog|Process id is 3544@DESKTOP-K4G05R9
180428 201934.216|INFO|AWT-EventQueue-0|info|Contacting server at 140.113.200.125:50002 as TEAM33 @ site 0
180428 201934.216|INFO|AWT-EventQueue-0|info|sendLoginRequest start - sending from TEAM33 @ site 0
180428 201934.216|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[LOGIN_REQUEST] #2 TEAM33 @ site 0 -> SERVER0 @ site 0
180428 201934.216|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[LOGIN_REQUEST] #2 TEAM33 @ site 0 -> SERVER0 @ site 0
180428 201934.216|INFO|AWT-EventQueue-0|info|sendLoginRequest end - packet sent.
180428 201934.216|INFO|Thread-6|run|send(Serializable)
180428 201934.247|INFO|Thread-1|receive|public void receive(SealedObject TransportPacket, ConnectionHandlerID connectionHandlerID)
180428 201934.341|INFO|Thread-7|info| receiveObject(S) start got Packet[LOGIN_SUCCESS] #727 SERVER0 @ site 1 -> TEAM33 @ site 1
180428 201934.341|INFO|Thread-7|dumpPacket|Packet LOGIN_SUCCESS (Seq #727 ) recieveObject
180428 201934.341|INFO|Thread-7|dumpPacket|  From: SERVER0 @ site 1 (MZ-XEON @ 127.0.1.1) (Contest Id: Default-8703459967009259949)
